Identified Proteins (934),Accession Number,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,C_D2,Gpool_D2,C_D21,Gpool_D21,C_D42,Gpool_D42,Ves_C_D42,Ves_G_D42
Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1,P02765,39 kDa,,unknown,0,0,0,0,0,0,0,7
Lactoylglutathione lyase OS=Homo sapiens GN=GLO1 PE=1 SV=4,Q04760,21 kDa,,unknown,0,0,0,0,0,0,0,8
Plakophilin-1 OS=Homo sapiens GN=PKP1 PE=1 SV=2,Q13835,83 kDa,,unknown,0,0,0,0,0,0,6,0
Leucine-rich repeat-containing protein 15 OS=Homo sapiens GN=LRRC15 PE=1 SV=2,Q8TF66,64 kDa,,unknown,0,0,0,0,0,0,10,0
SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens GN=SH3BGRL3 PE=1 SV=1,Q9H299,10 kDa,TRUE,unknown,0,0,0,0,0,0,3,0
Apolipoprotein A-II OS=Homo sapiens GN=APOA2 PE=1 SV=1,P02652,11 kDa,,unknown,0,0,0,0,0,0,2,4
Major prion protein OS=Homo sapiens GN=PRNP PE=1 SV=1,P04156,28 kDa,,unknown,0,0,0,0,0,2,0,0
Pterin-4-alpha-carbinolamine dehydratase 2 OS=Homo sapiens GN=PCBD2 PE=1 SV=4,Q9H0N5,14 kDa,,unknown,0,0,3,0,0,0,0,0
Choline transporter-like protein 2 OS=Homo sapiens GN=SLC44A2 PE=1 SV=3,Q8IWA5,80 kDa,,unknown,0,0,0,0,0,0,2,0
Proteasome inhibitor PI31 subunit OS=Homo sapiens GN=PSMF1 PE=1 SV=2,Q92530,30 kDa,,unknown,0,0,0,0,0,0,1,0
Cullin-1 OS=Homo sapiens GN=CUL1 PE=1 SV=2,Q13616,90 kDa,,unknown,0,0,2,2,2,0,0,0
Ribonuclease inhibitor OS=Homo sapiens GN=RNH1 PE=1 SV=2,P13489,50 kDa,,unknown,0,0,0,0,0,0,8,0
Protein PRRC1 OS=Homo sapiens GN=PRRC1 PE=1 SV=1,Q96M27,47 kDa,TRUE,unknown,0,0,3,1,2,0,0,0
Gamma-adducin OS=Homo sapiens GN=ADD3 PE=1 SV=1,Q9UEY8,79 kDa,TRUE,unknown,2,0,2,0,0,0,0,0
Peptidyl-tRNA hydrolase 2 mitochondrial OS=Homo sapiens GN=PTRH2 PE=1 SV=1,Q9Y3E5,19 kDa,,unknown,0,0,0,0,0,3,0,0
Exportin-1 OS=Homo sapiens GN=XPO1 PE=1 SV=1,O14980,123 kDa,,unknown,0,0,0,0,0,0,6,2
Q96MG7-DECOY,Q96MG7-DECOY,?,,unknown,0,1,0,0,0,0,0,0
Bifunctional purine biosynthesis protein PURH OS=Homo sapiens GN=ATIC PE=1 SV=3,P31939,65 kDa,TRUE,unknown,0,0,0,0,0,0,4,0
Solute carrier family 12 member 7 OS=Homo sapiens GN=SLC12A7 PE=1 SV=3,Q9Y666,119 kDa,,unknown,0,2,0,0,0,0,0,0
26S proteasome non-ATPase regulatory subunit 10 OS=Homo sapiens GN=PSMD10 PE=1 SV=1,O75832,24 kDa,,unknown,0,0,0,0,0,0,0,4
Vitamin D-binding protein OS=Homo sapiens GN=GC PE=1 SV=1,P02774,53 kDa,,unknown,0,0,0,0,0,0,0,7
Mannan-binding lectin serine protease 2 OS=Homo sapiens GN=MASP2 PE=1 SV=4,O00187,76 kDa,,unknown,0,0,0,0,0,0,0,3
P78527-DECOY,P78527-DECOY,?,,unknown,0,0,0,0,0,0,0,1
Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=5,Q01518,52 kDa,,unknown,0,0,0,1,0,0,0,0
Prothrombin OS=Homo sapiens GN=F2 PE=1 SV=2,P00734,70 kDa,,unknown,0,0,0,0,0,0,0,6
Syntaxin-16 OS=Homo sapiens GN=STX16 PE=1 SV=3,O14662,37 kDa,,unknown,0,0,0,0,2,0,0,0
AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1 PE=1 SV=2,Q10567,105 kDa,TRUE,unknown,0,0,11,10,0,0,4,0
Syntaxin-11 OS=Homo sapiens GN=STX11 PE=2 SV=1,O75558,33 kDa,,unknown,2,0,0,2,2,0,0,0
ER lumen protein-retaining receptor 2 OS=Homo sapiens GN=KDELR2 PE=1 SV=1,P33947,24 kDa,TRUE,unknown,0,1,3,0,0,2,0,0
Hippocalcin-like protein 1 OS=Homo sapiens GN=HPCAL1 PE=1 SV=3,P37235,22 kDa,,unknown,0,0,0,0,3,3,0,0
Septin-2 OS=Homo sapiens GN=SEPT2 PE=1 SV=1,Q15019,41 kDa,TRUE,unknown,0,2,0,1,0,2,0,0
ELMO domain-containing protein 2 OS=Homo sapiens GN=ELMOD2 PE=1 SV=1,Q8IZ81,35 kDa,,unknown,5,2,0,0,0,0,0,0
Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3,O15145,21 kDa,,unknown,0,0,2,0,0,0,0,0
Carbonic anhydrase 3 OS=Homo sapiens GN=CA3 PE=1 SV=3,P07451,30 kDa,,unknown,0,0,0,0,0,0,2,4
Syntaxin-12 OS=Homo sapiens GN=STX12 PE=1 SV=1,Q86Y82,32 kDa,,unknown,3,0,1,0,0,1,0,0
Vacuolar protein sorting-associated protein 4A OS=Homo sapiens GN=VPS4A PE=1 SV=1,Q9UN37,49 kDa,,unknown,0,0,0,0,3,0,0,2
Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4,P18206,124 kDa,,unknown,0,0,0,0,1,1,0,0
Nuclear transport factor 2 OS=Homo sapiens GN=NUTF2 PE=1 SV=1,P61970,14 kDa,,unknown,0,0,0,0,0,0,2,5
Keratin type II cuticular Hb5 OS=Homo sapiens GN=KRT85 PE=1 SV=1,P78386,56 kDa,TRUE,unknown,0,0,0,0,0,0,32,0
Glyoxalase domain-containing protein 4 OS=Homo sapiens GN=GLOD4 PE=1 SV=1,Q9HC38,35 kDa,,unknown,0,0,0,0,0,0,4,5
Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens GN=EIF2S3 PE=1 SV=3,P41091,51 kDa,,unknown,0,0,3,4,0,0,0,0
C4b-binding protein beta chain OS=Homo sapiens GN=C4BPB PE=1 SV=1,P20851,28 kDa,,unknown,0,0,0,0,0,0,1,7
Glucose-6-phosphate isomerase OS=Homo sapiens GN=GPI PE=1 SV=4,P06744,63 kDa,,unknown,0,0,0,0,0,0,1,2
Tubulin beta-2A chain OS=Homo sapiens GN=TUBB2A PE=1 SV=1,Q13885 (+1),50 kDa,,unknown,0,0,0,0,0,0,9,0
RNA-binding motif protein X chromosome OS=Homo sapiens GN=RBMX PE=1 SV=3,P38159,42 kDa,,unknown,3,0,0,0,0,0,0,0
60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2,P62917,28 kDa,,unknown,0,0,0,0,0,0,2,0
Fascin OS=Homo sapiens GN=FSCN1 PE=1 SV=3,Q16658,55 kDa,,unknown,0,0,0,0,0,0,3,0
Coagulation factor XIII B chain OS=Homo sapiens GN=F13B PE=1 SV=3,P05160,76 kDa,,unknown,0,0,0,0,0,0,0,8
Alpha-1B-glycoprotein OS=Homo sapiens GN=A1BG PE=1 SV=4,P04217,54 kDa,,unknown,0,0,0,0,0,0,0,7
Torsin-1A OS=Homo sapiens GN=TOR1A PE=1 SV=1,O14656,38 kDa,,unknown,0,0,0,0,0,2,0,0
Ficolin-3 OS=Homo sapiens GN=FCN3 PE=1 SV=2,O75636,33 kDa,,unknown,0,0,0,0,0,0,0,2
Solute carrier family 2 facilitated glucose transporter member 4 OS=Homo sapiens GN=SLC2A4 PE=1 SV=1,P14672,55 kDa,,unknown,2,2,0,1,0,0,0,0
Tyrosine-protein kinase SYK OS=Homo sapiens GN=SYK PE=1 SV=1,P43405,72 kDa,,unknown,0,0,0,2,0,0,0,0
Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4,P08670,54 kDa,TRUE,unknown,0,0,1,0,0,0,0,0
Vitronectin OS=Homo sapiens GN=VTN PE=1 SV=1,P04004,54 kDa,,unknown,0,0,0,0,0,0,2,5
Selenoprotein T OS=Homo sapiens GN=SELT PE=2 SV=2,P62341,22 kDa,,unknown,0,0,1,1,0,2,0,0
DnaJ homolog subfamily C member 13 OS=Homo sapiens GN=DNAJC13 PE=1 SV=5,O75165,254 kDa,,unknown,0,0,0,3,0,0,0,0
Ephrin-B1 OS=Homo sapiens GN=EFNB1 PE=1 SV=1,P98172,38 kDa,,unknown,3,0,1,0,0,1,0,0
Keratinocyte proline-rich protein OS=Homo sapiens GN=KPRP PE=1 SV=1,Q5T749,64 kDa,,unknown,0,0,0,0,0,0,3,3
Serum amyloid P-component OS=Homo sapiens GN=APCS PE=1 SV=2,P02743,25 kDa,,unknown,0,0,0,0,0,0,0,4
Q9Y2K2-DECOY,Q9Y2K2-DECOY,?,,unknown,0,0,0,0,0,0,0,1
Alpha-1-acid glycoprotein 1 OS=Homo sapiens GN=ORM1 PE=1 SV=1,P02763,24 kDa,,unknown,0,0,0,0,0,0,0,6
Glutathione reductase mitochondrial OS=Homo sapiens GN=GSR PE=1 SV=2,P00390,56 kDa,,unknown,0,0,0,0,0,0,2,4
DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=1 SV=1,Q16531,127 kDa,,unknown,0,0,0,0,0,0,3,2
Aspartate aminotransferase cytoplasmic OS=Homo sapiens GN=GOT1 PE=1 SV=3,P17174,46 kDa,,unknown,0,0,0,0,0,0,5,1
Phosphoribosyl pyrophosphate synthase-associated protein 1 OS=Homo sapiens GN=PRPSAP1 PE=1 SV=2,Q14558,39 kDa,,unknown,0,0,0,3,0,0,0,0
COP9 signalosome complex subunit 6 OS=Homo sapiens GN=COPS6 PE=1 SV=1,Q7L5N1,36 kDa,,unknown,0,0,0,4,0,0,0,0
Q13017-DECOY,Q13017-DECOY,?,TRUE,unknown,0,0,0,0,0,0,1,0
60S ribosomal protein L30 OS=Homo sapiens GN=RPL30 PE=1 SV=2,P62888,13 kDa,,unknown,0,0,0,2,0,0,0,0
CSC1-like protein 2 OS=Homo sapiens GN=TMEM63B PE=1 SV=1,Q5T3F8,95 kDa,,unknown,0,0,0,0,0,1,0,0
1-acyl-sn-glycerol-3-phosphate acyltransferase alpha OS=Homo sapiens GN=AGPAT1 PE=1 SV=2,Q99943,32 kDa,,unknown,0,0,0,2,0,3,0,0
Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform OS=Homo sapiens GN=PPP2CB PE=1 SV=1,P62714 (+1),36 kDa,,unknown,0,0,0,0,0,0,3,4
Aflatoxin B1 aldehyde reductase member 2 OS=Homo sapiens GN=AKR7A2 PE=1 SV=3,O43488,40 kDa,,unknown,0,0,0,0,0,0,3,5
Caspase-14 OS=Homo sapiens GN=CASP14 PE=1 SV=2,P31944,28 kDa,,unknown,0,0,0,0,6,0,1,0
Q92625-DECOY,Q92625-DECOY,?,,unknown,0,0,0,0,0,0,1,0
Intestinal-type alkaline phosphatase OS=Homo sapiens GN=ALPI PE=1 SV=2,P09923,57 kDa,,unknown,0,0,0,0,0,0,2,0
UPF0587 protein C1orf123 OS=Homo sapiens GN=C1orf123 PE=1 SV=1,Q9NWV4,18 kDa,,unknown,0,0,0,0,0,0,0,2
Kinesin-like protein KIF16B OS=Homo sapiens GN=KIF16B PE=1 SV=2,Q96L93,152 kDa,TRUE,unknown,0,0,0,0,0,0,0,2
Histone H2A type 2-C OS=Homo sapiens GN=HIST2H2AC PE=1 SV=4,Q16777,14 kDa,TRUE,unknown,0,0,0,0,0,0,5,0
Protein ZGRF1 OS=Homo sapiens GN=ZGRF1 PE=2 SV=3,Q86YA3,237 kDa,,unknown,0,0,0,2,0,0,0,0
60S ribosomal protein L18a OS=Homo sapiens GN=RPL18A PE=1 SV=2,Q02543,21 kDa,,unknown,0,0,2,0,0,0,0,0
Vesicle-associated membrane protein 7 OS=Homo sapiens GN=VAMP7 PE=1 SV=3,P51809,25 kDa,,unknown,0,0,2,0,0,0,0,0
Charged multivesicular body protein 4b OS=Homo sapiens GN=CHMP4B PE=1 SV=1,Q9H444,25 kDa,,unknown,0,0,0,0,2,2,0,0
Transmembrane 9 superfamily member 3 OS=Homo sapiens GN=TM9SF3 PE=1 SV=2,Q9HD45,68 kDa,,unknown,0,0,0,1,0,0,0,0
Vesicle transport protein USE1 OS=Homo sapiens GN=USE1 PE=1 SV=2,Q9NZ43,29 kDa,,unknown,4,0,0,0,0,0,0,0
GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens GN=GAPVD1 PE=1 SV=2,Q14C86,165 kDa,,unknown,0,0,0,4,0,0,0,0
Casein kinase II subunit alpha OS=Homo sapiens GN=CSNK2A1 PE=1 SV=1,P68400,45 kDa,,unknown,0,0,0,2,0,0,0,0
WW domain-binding protein 2 OS=Homo sapiens GN=WBP2 PE=1 SV=1,Q969T9,28 kDa,,unknown,0,0,0,0,0,0,0,1
Membrane-associated progesterone receptor component 1 OS=Homo sapiens GN=PGRMC1 PE=1 SV=3,O00264,22 kDa,TRUE,unknown,0,0,0,0,0,3,0,0
Clathrin light chain A OS=Homo sapiens GN=CLTA PE=1 SV=1,P09496,27 kDa,,unknown,0,0,3,0,0,0,0,0
Dolichyl-phosphate beta-glucosyltransferase OS=Homo sapiens GN=ALG5 PE=1 SV=1,Q9Y673,37 kDa,TRUE,unknown,0,0,0,0,0,1,0,0
Exportin-7 OS=Homo sapiens GN=XPO7 PE=1 SV=3,Q9UIA9,124 kDa,,unknown,0,0,0,0,0,0,3,0
Epsin-1 OS=Homo sapiens GN=EPN1 PE=1 SV=2,Q9Y6I3,60 kDa,TRUE,unknown,0,0,0,3,2,0,0,0
Cell cycle control protein 50A OS=Homo sapiens GN=TMEM30A PE=1 SV=1,Q9NV96,41 kDa,,unknown,2,0,0,0,0,0,0,0
Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3,Q9Y490,270 kDa,TRUE,unknown,0,0,0,0,0,0,0,1
Pterin-4-alpha-carbinolamine dehydratase OS=Homo sapiens GN=PCBD1 PE=1 SV=2,P61457,12 kDa,,unknown,0,0,0,0,2,2,0,0
Axin interactor dorsalization-associated protein OS=Homo sapiens GN=AIDA PE=1 SV=1,Q96BJ3,35 kDa,,unknown,0,0,0,0,0,0,2,0
Fumarylacetoacetase OS=Homo sapiens GN=FAH PE=1 SV=2,P16930,46 kDa,,unknown,0,0,0,0,0,0,5,0
Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2,P09211,23 kDa,,unknown,0,0,0,0,0,0,0,4
BTB/POZ domain-containing protein KCTD12 OS=Homo sapiens GN=KCTD12 PE=1 SV=1,Q96CX2,36 kDa,,unknown,0,0,0,0,0,0,1,0
Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1,Q13310,71 kDa,TRUE,unknown,0,0,0,0,0,0,2,0
Protein S100-A2 OS=Homo sapiens GN=S100A2 PE=1 SV=3,P29034,11 kDa,,unknown,0,0,0,0,0,0,1,0
Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3,P02753,23 kDa,,unknown,0,0,0,0,0,0,0,5
40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2,P62249,16 kDa,,unknown,0,0,0,0,0,0,2,0
Ig lambda chain V region 4A OS=Homo sapiens PE=4 SV=1,P04211,12 kDa,,unknown,1,0,0,0,0,0,0,0
COP9 signalosome complex subunit 5 OS=Homo sapiens GN=COPS5 PE=1 SV=4,Q92905,38 kDa,,unknown,0,0,0,2,0,0,0,0
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens GN=DDOST PE=1 SV=4,P39656,51 kDa,,unknown,0,0,0,0,2,2,0,0
Dynactin subunit 5 OS=Homo sapiens GN=DCTN5 PE=1 SV=1,Q9BTE1,20 kDa,,unknown,0,0,4,0,0,0,0,0
40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1,P60866,13 kDa,,unknown,0,2,1,0,0,0,0,0
Desmocollin-1 OS=Homo sapiens GN=DSC1 PE=1 SV=2,Q08554,100 kDa,,unknown,0,0,0,0,0,0,0,3
Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,P08238,83 kDa,TRUE,unknown,0,0,0,0,0,0,17,0
Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=1,P61769,14 kDa,,unknown,0,0,0,0,0,0,0,1
Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens GN=UBE2V2 PE=1 SV=4,Q15819,16 kDa,TRUE,unknown,0,0,0,0,0,0,9,0
Acetyl-CoA acetyltransferase cytosolic OS=Homo sapiens GN=ACAT2 PE=1 SV=2,Q9BWD1,41 kDa,,unknown,0,0,0,0,0,0,3,2
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 OS=Homo sapiens GN=PIN1 PE=1 SV=1,Q13526,18 kDa,,unknown,0,0,0,0,0,0,0,3
Platelet-activating factor acetylhydrolase IB subunit gamma OS=Homo sapiens GN=PAFAH1B3 PE=1 SV=1,Q15102,26 kDa,,unknown,0,0,0,0,0,0,3,2
Calcium-regulated heat stable protein 1 OS=Homo sapiens GN=CARHSP1 PE=1 SV=2,Q9Y2V2,16 kDa,,unknown,0,0,0,0,0,0,0,4
Hemoglobin subunit zeta OS=Homo sapiens GN=HBZ PE=1 SV=2,P02008,16 kDa,TRUE,unknown,0,0,0,0,0,0,0,11
Protein arginine N-methyltransferase 5 OS=Homo sapiens GN=PRMT5 PE=1 SV=4,O14744,73 kDa,,unknown,0,0,0,5,0,0,0,0
Methylosome protein 50 OS=Homo sapiens GN=WDR77 PE=1 SV=1,Q9BQA1,37 kDa,,unknown,0,0,0,4,0,0,0,0
Lactotransferrin OS=Homo sapiens GN=LTF PE=1 SV=6,P02788,78 kDa,TRUE,unknown,0,0,0,0,0,0,5,0
P29144-DECOY,P29144-DECOY,?,TRUE,unknown,0,1,0,0,0,0,0,0
Pyruvate kinase PKLR OS=Homo sapiens GN=PKLR PE=1 SV=2,P30613,62 kDa,,unknown,0,0,0,0,0,0,4,0
Coagulation factor V OS=Homo sapiens GN=F5 PE=1 SV=4,P12259,252 kDa,,unknown,0,0,0,0,0,0,2,0
Complement C5 OS=Homo sapiens GN=C5 PE=1 SV=4,P01031,188 kDa,,unknown,0,0,0,0,0,0,0,4
Histone H1.2 OS=Homo sapiens GN=HIST1H1C PE=1 SV=2,P16403,21 kDa,,unknown,0,0,0,0,0,0,4,0
Serine/threonine-protein phosphatase CPPED1 OS=Homo sapiens GN=CPPED1 PE=1 SV=3,Q9BRF8,36 kDa,,unknown,0,0,0,0,0,0,0,4
Keratin type I cytoskeletal 27 OS=Homo sapiens GN=KRT27 PE=1 SV=2,Q7Z3Y8,50 kDa,TRUE,unknown,0,0,0,0,0,0,11,0
Hemoglobin subunit theta-1 OS=Homo sapiens GN=HBQ1 PE=1 SV=2,P09105,16 kDa,,unknown,0,0,0,0,0,0,0,4
Apolipoprotein A-IV OS=Homo sapiens GN=APOA4 PE=1 SV=3,P06727,45 kDa,,unknown,0,0,0,0,0,0,0,4
Protein disulfide-isomerase A4 OS=Homo sapiens GN=PDIA4 PE=1 SV=2,P13667,73 kDa,,unknown,0,1,0,0,0,0,0,0
Proteasome assembly chaperone 1 OS=Homo sapiens GN=PSMG1 PE=1 SV=1,O95456,33 kDa,,unknown,0,0,0,1,0,0,0,0
Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens GN=FARSB PE=1 SV=3,Q9NSD9,66 kDa,,unknown,0,0,0,1,0,0,0,0
P13804-DECOY,P13804-DECOY,?,,unknown,1,0,0,0,0,0,0,0
Latexin OS=Homo sapiens GN=LXN PE=1 SV=2,Q9BS40,26 kDa,,unknown,0,0,0,0,0,0,3,0
Ras-related protein Rab-23 OS=Homo sapiens GN=RAB23 PE=1 SV=1,Q9ULC3,27 kDa,,unknown,0,2,0,0,0,0,0,0
Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS=Homo sapiens GN=PIP5K1A PE=1 SV=1,Q99755,63 kDa,,unknown,2,0,0,0,0,0,0,0
L-xylulose reductase OS=Homo sapiens GN=DCXR PE=1 SV=2,Q7Z4W1,26 kDa,,unknown,0,0,0,0,2,0,0,2
Ig kappa chain V-I region Ka OS=Homo sapiens PE=1 SV=1,P01603,12 kDa,TRUE,unknown,0,0,1,0,0,0,0,0
Phosphoribosylformylglycinamidine synthase OS=Homo sapiens GN=PFAS PE=1 SV=4,O15067,145 kDa,,unknown,0,0,0,0,0,0,2,2
GTPase NRas OS=Homo sapiens GN=NRAS PE=1 SV=1,P01111,21 kDa,TRUE,unknown,0,23,28,0,0,0,0,0
Xaa-Pro dipeptidase OS=Homo sapiens GN=PEPD PE=1 SV=3,P12955,55 kDa,,unknown,0,0,0,0,0,0,2,1
MICAL-like protein 2 OS=Homo sapiens GN=MICALL2 PE=1 SV=1,Q8IY33,98 kDa,,unknown,0,0,0,1,0,0,0,0
Alpha-hemoglobin-stabilizing protein OS=Homo sapiens GN=AHSP PE=1 SV=1,Q9NZD4,12 kDa,,unknown,0,0,0,0,0,0,1,3
Dynactin subunit 6 OS=Homo sapiens GN=DCTN6 PE=1 SV=1,O00399,21 kDa,,unknown,0,0,3,0,0,0,0,0
Synaptobrevin homolog YKT6 OS=Homo sapiens GN=YKT6 PE=1 SV=1,O15498,22 kDa,,unknown,0,0,0,0,0,0,0,3
V-set and immunoglobulin domain-containing protein 8 OS=Homo sapiens GN=VSIG8 PE=1 SV=1,Q5VU13,44 kDa,,unknown,0,0,0,0,0,0,4,0
Insulin-degrading enzyme OS=Homo sapiens GN=IDE PE=1 SV=4,P14735,118 kDa,,unknown,0,0,0,0,0,0,4,0
Disco-interacting protein 2 homolog B OS=Homo sapiens GN=DIP2B PE=1 SV=3,Q9P265,171 kDa,,unknown,0,0,0,0,0,0,1,0
Phospholipid-transporting ATPase IG OS=Homo sapiens GN=ATP11C PE=1 SV=3,Q8NB49,129 kDa,,unknown,1,0,0,0,0,0,0,0
Protein MAATS1 OS=Homo sapiens GN=MAATS1 PE=1 SV=2,Q7Z4T9,71 kDa,,unknown,2,0,0,0,0,0,0,0
Zinc-alpha-2-glycoprotein OS=Homo sapiens GN=AZGP1 PE=1 SV=2,P25311,34 kDa,,unknown,0,0,0,0,5,0,0,0
Peptidoglycan recognition protein 1 OS=Homo sapiens GN=PGLYRP1 PE=1 SV=1,O75594,22 kDa,,unknown,0,0,0,0,0,0,3,0
14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1,P27348,28 kDa,TRUE,unknown,0,0,0,0,0,0,10,0
V-type proton ATPase subunit B brain isoform OS=Homo sapiens GN=ATP6V1B2 PE=1 SV=3,P21281,57 kDa,,unknown,0,0,2,0,0,0,0,0
MAGUK p55 subfamily member 7 OS=Homo sapiens GN=MPP7 PE=1 SV=1,Q5T2T1,66 kDa,,unknown,0,0,0,2,0,0,0,0
Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3,P61158,47 kDa,,unknown,0,0,0,1,0,0,0,0
60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1,P05388,34 kDa,,unknown,2,0,0,0,0,0,2,0
Myotrophin OS=Homo sapiens GN=MTPN PE=1 SV=2,P58546,13 kDa,TRUE,unknown,0,0,0,0,0,0,1,3
P35908-DECOY,P35908-DECOY,?,,unknown,0,0,0,0,0,0,2,2
Macrophage migration inhibitory factor OS=Homo sapiens GN=MIF PE=1 SV=4,P14174,12 kDa,,unknown,0,0,0,0,0,0,2,2
E3 ubiquitin-protein ligase KCMF1 OS=Homo sapiens GN=KCMF1 PE=1 SV=2,Q9P0J7,42 kDa,,unknown,0,0,0,2,0,0,0,0
Osteoclast-stimulating factor 1 OS=Homo sapiens GN=OSTF1 PE=1 SV=2,Q92882,24 kDa,,unknown,0,0,0,0,0,0,0,1
Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens GN=EIF2S1 PE=1 SV=3,P05198,36 kDa,,unknown,0,0,0,2,0,0,0,0
Corneodesmosin OS=Homo sapiens GN=CDSN PE=1 SV=3,Q15517,52 kDa,,unknown,0,0,0,0,0,0,1,0
Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1,O15144,34 kDa,,unknown,0,0,0,0,2,0,0,0
Ig kappa chain V-III region IARC/BL41 OS=Homo sapiens PE=1 SV=1,P06311,14 kDa,TRUE,unknown,3,0,0,0,0,0,0,0
Pleckstrin homology domain-containing family F member 2 OS=Homo sapiens GN=PLEKHF2 PE=1 SV=1,Q9H8W4,28 kDa,,unknown,0,0,0,0,3,0,0,0
Importin-5 OS=Homo sapiens GN=IPO5 PE=1 SV=4,O00410,124 kDa,,unknown,0,0,0,1,0,0,0,0
Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=1 SV=2,P04792,23 kDa,,unknown,0,0,0,0,0,0,3,0
Ribose-5-phosphate isomerase OS=Homo sapiens GN=RPIA PE=1 SV=3,P49247,33 kDa,,unknown,0,0,0,0,0,0,3,0
Gamma-enolase OS=Homo sapiens GN=ENO2 PE=1 SV=3,P09104,47 kDa,TRUE,unknown,0,0,0,0,0,0,7,0
Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1,Q07960,50 kDa,,unknown,0,0,0,0,0,0,1,0
Alpha/beta hydrolase domain-containing protein 14B OS=Homo sapiens GN=ABHD14B PE=1 SV=1,Q96IU4,22 kDa,,unknown,0,0,0,0,0,0,0,4
Rho GDP-dissociation inhibitor 2 OS=Homo sapiens GN=ARHGDIB PE=1 SV=3,P52566,23 kDa,,unknown,0,0,0,0,0,0,0,3
Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=6,P13796,70 kDa,,unknown,1,0,0,0,0,0,0,0
Leukotriene A-4 hydrolase OS=Homo sapiens GN=LTA4H PE=1 SV=2,P09960,69 kDa,,unknown,0,0,0,0,0,0,1,0
DnaJ homolog subfamily B member 2 OS=Homo sapiens GN=DNAJB2 PE=1 SV=3,P25686,36 kDa,,unknown,0,0,0,0,0,0,1,0
Leukocyte elastase inhibitor OS=Homo sapiens GN=SERPINB1 PE=1 SV=1,P30740,43 kDa,,unknown,0,0,0,0,0,0,2,0
Corticosteroid-binding globulin OS=Homo sapiens GN=SERPINA6 PE=1 SV=1,P08185,45 kDa,,unknown,0,0,0,0,0,0,0,2
Plexin-A1 OS=Homo sapiens GN=PLXNA1 PE=1 SV=3,Q9UIW2,211 kDa,TRUE,unknown,0,0,0,0,0,0,1,0
Tumor necrosis factor receptor superfamily member 6 OS=Homo sapiens GN=FAS PE=1 SV=1,P25445,38 kDa,,unknown,0,1,0,0,0,0,0,0
Keratin type II cytoskeletal 71 OS=Homo sapiens GN=KRT71 PE=1 SV=3,Q3SY84,57 kDa,TRUE,unknown,0,0,0,0,0,0,8,0
Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1,P02766,16 kDa,,unknown,0,0,0,0,0,0,0,2
Integrin alpha-IIb OS=Homo sapiens GN=ITGA2B PE=1 SV=3,P08514,113 kDa,,unknown,0,0,0,0,0,0,2,0
Proteasome-associated protein ECM29 homolog OS=Homo sapiens GN=ECM29 PE=1 SV=2,Q5VYK3,204 kDa,TRUE,unknown,0,0,1,0,0,0,0,0
ATP synthase subunit beta mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3,P06576,57 kDa,,unknown,0,0,0,0,0,0,2,0
